positive,2018-04-23 ," RT @StocksHighAlert: $DNAD DNA Dynamics, Inc. Expands Blockchain DNA LLC Team https://t.co/EuskbHEybo @frontpagestocks   $QNST $IMUC $APRI…",1.0
positive,2018-04-23 ," $SVSA $240,000,000 project $4MIL cash $83,776,440 assets @ 03?! $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F… https://t.co/sKtNL55buz",2.0
neutral,2018-04-23 ," RT @StockRatingsHQ: Tuesday, April 24th 2018 - New Buy, Sell or Hold Ratings Issued For:  $INFY $OAS $TEVA $DVN $AKS $WMT $BHGE $IBM $ERFB…",0.0
positive,2018-04-23 ," $DNAD DNA Dynamics, Inc. Expands Blockchain DNA LLC Team https://t.co/EuskbHEybo @frontpagestocks   $QNST $IMUC… https://t.co/olXYzwgEBf",1.0
neutral,2018-04-23 ," Tuesday, April 24th 2018 - New Buy, Sell or Hold Ratings Issued For:  $INFY $OAS $TEVA $DVN $AKS $WMT $BHGE $IBM… https://t.co/cvNkeBrf8a",0.0
positive,2018-04-23 , #marital asset watch - unusual volume advance this morning:  $PRTA $AGFX $AKRX $VVC $MDR $GPRK $CBI $HTM $HAS $IPOA… https://t.co/tgaCQnGu9i,2.0
positive,2018-04-23 , A bullish Big MAC (Bullish) has occurred at 11:30 AM Apr 23 at  $17.44 on Infosys Ltd (INFY) $INFY Want to Earn(Reg… https://t.co/u5i7Oc47Pd,2.0
neutral,2018-04-23 , $INFY’s analyst day https://t.co/4rcnojUTdE $WIT $CTSH $DXC $ACN https://t.co/xggVyVaKF8,0.0
positive,2018-04-23 ," $SVSA $240,000,000 project $4MIL cash $83,776,440 assets @ 05?! $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F… https://t.co/ATQkAxdoVf",2.0
neutral,2018-04-23 ," Mkts are flat, TCS's $100b journey, ecomm future is an all american affair more https://t.co/Q0ahVHozey $INFY $WIT… https://t.co/qotKAD9kDb",0.0
positive,2018-04-23 , RT @TheBurdetteLawF: #estate asset watch - volume leaders at the open:  $MDR $AKRX $CBI $PRTA $ERIC $GE $AMD $AAPL $CMCSA $CL $TOT $RIO $AA…,2.0
positive,2018-04-23 ," RT @aaaamhim: $SVSA 045 -27%%! Unknown. $240,000,000 project $4MIL cash $83,776,440 assets! $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F…",2.0
positive,2018-04-23 , #estate asset watch - volume leaders at the open:  $MDR $AKRX $CBI $PRTA $ERIC $GE $AMD $AAPL $CMCSA $CL $TOT $RIO… https://t.co/RsTJt2w10D,2.0
positive,2018-04-23 ," RT @Super1NYC: #Premarket Top % Gainers: $MOC 25%, $MDR 17%, $SHLD $SALT $ABEO $DSLV $VERI $MYSZ $DPW $VVC $PHG $OKTA $JDST $DWT $OILD $DUS…",2.0
positive,2018-04-23 ," RT @Super1NYC: #Premarket Top % Gainers: $MOC 25%, $MDR 17%, $SHLD $SALT $ABEO $DSLV $VERI $MYSZ $DPW $VVC $PHG $OKTA $JDST $DWT $OILD $DUS…",2.0
positive,2018-04-23 ," RT @Super1NYC: #Premarket Top % Gainers: $MOC 25%, $MDR 17%, $SHLD $SALT $ABEO $DSLV $VERI $MYSZ $DPW $VVC $PHG $OKTA $JDST $DWT $OILD $DUS…",2.0
positive,2018-04-23 ," #Premarket Top % Gainers: $MOC 25%, $MDR 17%, $SHLD $SALT $ABEO $DSLV $VERI $MYSZ $DPW $VVC $PHG $OKTA $JDST $DWT… https://t.co/TQItY8MsI0",2.0
positive,2018-04-23 ," $SVSA 045 -27%%! Unknown. $240,000,000 project $4MIL cash $83,776,440 assets! $BAC $GE $BMY $WFC $MU $YNDX $AMD… https://t.co/V89jfE9W8h",2.0
positive,2018-04-23 , $INFY #Infosys gains in premarket trading. See vwap price action. https://t.co/Q7Q9sumcgP https://t.co/EDlRkWRA3L,2.0
positive,2018-04-23 , Most Active Premarket $TVIX $SPY $UVXY $QQQ $AKRX $ERIC $USO $GLD $SLV $EEM $GDX $UCO $SPXL $SQQQ $GE $INFY $NOK… https://t.co/Q9YOf2iSis,1.0
positive,2018-04-23 ," $SVSA 045 -27%%! Unknown. $240,000,000 project $4MIL cash $83,776,440 assets! $BAC $GE $BMY $WFC $MU $YNDX $AMD… https://t.co/T3mE56XSSK",2.0
positive,2018-04-23 ," $SVSA $240,000,000 project $4MIL cash $83,776,440 assets @ 05?! $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F… https://t.co/4Imz1ddulC",2.0
neutral,2018-04-22 ," RT @StockRatingsHQ: Monday, April 23rd 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY $SQ $ABX…",0.0
neutral,2018-04-22 ," RT @StockRatingsHQ: Monday, April 23rd 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY $SQ $ABX…",0.0
neutral,2018-04-22 ," Monday, April 23rd 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY $SQ… https://t.co/qXnTQEA8sx",0.0
positive,2018-04-22 , #estate asset watch - price gaps in Fri. premarket - up:  $IONS $PF $MSCC $MAC $HON $ASB $ERIC $GE $XNET $INFY… https://t.co/ahJ9EM9lsX,2.0
positive,2018-04-22 , Infosys $INFY Shares Gap Up to $17.17 https://t.co/RzknwfcKoN,1.0
positive,2018-04-22 , Infosys $INFY Shares Gap Up to $17.17  https://t.co/HnxV50ipUI,1.0
neutral,2018-04-22 ," RT @StockRatingsHQ: Monday, April 23rd 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY $SQ $ABX…",0.0
neutral,2018-04-25 ," Infosys Tech' $INFY settled +0.7% at $17.21. Price structure since Jan' is arguably just choppy consolidation, befo… https://t.co/kXc0gfXVci",0.0
neutral,2018-04-25 ," RT @StockRatingsHQ: Thursday, April 26th 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY $SQ $A…",0.0
neutral,2018-04-25 ," Coming up later (around 7pm EST), the usual things. Taking your requests. Already on the list: $INFY $GE https://t.co/xjq7nHLpdU",0.0
neutral,2018-04-25 , @permabear_uk thoughts on $INFY?,0.0
positive,2018-04-25 ," $SVSA $240,000,000 project $4MIL cash $83,776,440 assets @ 05?! $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F… https://t.co/bgnaCFilow",2.0
positive,2018-04-25 ," $SVSA $240,000,000 project $4MIL cash $83,776,440 assets @ 03?! $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F… https://t.co/JKURKtJZKV",2.0
neutral,2018-04-25 , $SVSA News not PR'D or seen IN US📈💸🔭 https://t.co/rawne3uKfv $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F $AAPL… https://t.co/iqZpt8HsJ3,0.0
positive,2018-04-25 , $SVSA 027 target $1+. Ur gonna want these shares here. $BAC $GE $BMY $WFC $MU $YNDX $AMD $OCLR $MRK $F $AAPL $RIG… https://t.co/QVB8T5srn4,1.0
positive,2018-04-25 , A bullish Big MAC (Bullish) has occurred at 11:15 AM Apr 25 at  $17.32 on Infosys Ltd (INFY) $INFY Want to Earn(Reg… https://t.co/aE2ntxvwP9,2.0
neutral,2018-04-25 , Reviewing Verisign $VRSN and Infosys $INFY https://t.co/BMHNfNNxb2,0.0
